Name,Cuisine,Price,Latitude,Longitude,Address,Phone Number
Blue Thai Food and Sushi,PanAsian,Fancy,41.587875,-93.613876,"215 E Walnut St, Des Moines, IA 50309",(515) 528-2407
Thai,PanAsian,Casual,41.602169,-93.601148,"1254 E 14th St, Des Moines, IA 50316",(515) 262-4658
A Dong,PanAsian,Casual,41.587386,-93.637413,"1511 High St, Des Moines, IA 50309",(515) 284-5632
Malo,Mexican,Fancy,41.583856,-93.628211,"900 Mulberry St, Des Moines, IA 50309",(515) 244-5000
Tacopocalypse,Mexican,Casual,41.590059,-93.611111,"407 E 5th St, Des Moines, IA 50309",(515) 556-0571
Fuzzy's Taco Shop,Mexican,Casual,41.533312,-93.596243,"300 W Martin Luther King Jr Pkwy #120, Des Moines, IA 50305",(515) 280-3898
Cafe di Scala,Italian,Fancy,41.588276,-93.641636,"644 18th St, Des Moines, IA 50314",(515) 244-1353
Centro,Italian,Fancy,41.585894,-93.630101,"1003 Locust St, Des Moines, IA 50309",(515) 248-1780
Bordenaros Pizza and Pasta,Italian,Casual,41.528563,-93.625886,"6108 SW 9th St, Des Moines, IA 50315",(515) 287-1607
Eatery A,Pizza,Fancy,41.585894,-93.630101,"2932 Ingersoll Ave, Des Moines, IA 50312",(515) 282-8085
Blaze,Pizza,Casual,41.581792,-93.619815,"300 W Martin Luther King Jr Pkwy, Des Moines, IA 50309",(515) 518-1393
Proof,Greek,Fancy,41.585242,-93.633841,"1301 Locust Street,Suite C, Des Moines, IA 50309",(515) 244-0655
Gazali's,Greek,Casual,41.600652,-93.650711,"1205 25th St, Des Moines, IA 50311",(515) 309-9167
Bubba,Southern,Fancy,41.584048,-93.629392,"200 10th St, Des Moines, IA 50309",(515) 257-4744
Buzzard Billy's,Southern,Casual,41.590195,-93.621266,"615 3rd St #4, Des Moines, IA 50309",(515) 244-2899
Splash,Seafood,Fancy,41.587833,-93.621609,"303 Locust St, Des Moines, IA 50309",(515) 244-5686
Jesse's Embers,Seafoood,Casual,41.586494,-93.661336,"3300 Ingersoll Ave, Des Moines, IA 50312",(515) 255-6011
801 Chophouse,American,Fancy,41.587462,-93.628673,"801 Grand Ave #200, Des Moines, IA 50309",(515) 288-6000
ROCA,American,Casual,41.585186,-93.619553,"208 Court Ave, Des Moines, IA 50309",(515) 282-3663
Jethro's BBQ,American,Casual,41.603731,-93.660091,"3100 Forest Ave, Des Moines, IA 50311",(515) 279-3300
